Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DHI Units,DNI Units,GHI Units,Temperature Units,Wind Speed Units
NSRDB,20013,Jodhpur,Rajasthan,India,26.35,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,m/s
,,,,,,,,,,,,,,
Hour,GHI,DHI,Temperature,Wind Speed,,,,,,,,,,
1,0,0,11,0.2,,,,,,,,,,
2,0,0,10,0.2,,,,,,Abbreviations:,,,,
3,0,0,10,0.2,,,,,,DHI,Diffuse horizontal irradiance,,,
4,0,0,9,0.2,,,,,,GHI,Global horizontal irradiance,,,
5,0,0,9,0.2,,,,,,,,,,
6,0,0,11,0.3,,,,,,,,,,
7,0,0,11,0.3,,,,,,Source:,,,,
8,0,0,12,0.3,,,,,,Adapted from the file downloaded from NREL NSRDB,,,,
9,158,79,15,0.2,,,,,,https://nsrdb.nrel.gov/,,,,
10,359,120,19,0.2,,,,,,Downloaded on 22 Dec 2022,,,,
11,529,144,24,0.2,,,,,,,,,,
12,644,157,28,0.2,,,,,,Note:,,,,
13,693,162,30,0.1,,,,,,"Data is mentioned at half hour for the given period, e.g. for the hour 9 am to 10 am, the data is given for 9:30 am",,,,
14,671,159,30,0.1,,,,,,,,,,
15,579,149,30,0.1,,,,,,,,,,
16,427,130,28,0.1,,,,,,,,,,
17,234,96,25,0.1,,,,,,,,,,
18,26,26,22,0.2,,,,,,,,,,
19,0,0,21,0.2,,,,,,,,,,
20,0,0,20,0.3,,,,,,,,,,
21,0,0,19,0.3,,,,,,,,,,
22,0,0,18,0.3,,,,,,,,,,
23,0,0,17,0.3,,,,,,,,,,
24,0,0,16,0.3,,,,,,,,,,
25,0,0,15,0.3,,,,,,,,,,
26,0,0,15,0.3,,,,,,,,,,
27,0,0,14,0.3,,,,,,,,,,
28,0,0,13,0.3,,,,,,,,,,
29,0,0,13,0.3,,,,,,,,,,
30,0,0,13,0.3,,,,,,,,,,
31,0,0,12,0.3,,,,,,,,,,
32,0,0,13,0.3,,,,,,,,,,
33,157,79,16,0.3,,,,,,,,,,
34,333,129,20,0.2,,,,,,,,,,
35,509,145,25,0.2,,,,,,,,,,
36,611,169,29,0.1,,,,,,,,,,
37,682,163,30,0.1,,,,,,,,,,
38,667,159,31,0,,,,,,,,,,
39,576,149,30,0,,,,,,,,,,
40,425,130,28,0,,,,,,,,,,
41,234,96,25,0.1,,,,,,,,,,
42,29,28,22,0.2,,,,,,,,,,
43,0,0,21,0.2,,,,,,,,,,
44,0,0,20,0.3,,,,,,,,,,
45,0,0,19,0.3,,,,,,,,,,
46,0,0,18,0.3,,,,,,,,,,
47,0,0,17,0.3,,,,,,,,,,
48,0,0,16,0.3,,,,,,,,,,
49,0,0,16,0.3,,,,,,,,,,
50,0,0,15,0.2,,,,,,,,,,
51,0,0,14,0.2,,,,,,,,,,
52,0,0,14,0.2,,,,,,,,,,
53,0,0,13,0.2,,,,,,,,,,
54,0,0,13,0.2,,,,,,,,,,
55,0,0,12,0.2,,,,,,,,,,
56,0,0,13,0.2,,,,,,,,,,
57,156,79,17,0.1,,,,,,,,,,
